date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:21:16	17509/17509	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:23:59%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=13	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index21c2.html	(from http://jxcg.cdu.edu.cn/index.php?a=shows&catid=11&id=49)
20:21:18	10638/10638	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:24:01%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=38	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index8740.html	(from http://jxcg.cdu.edu.cn/index.php?a=shows&catid=39&id=55)
20:21:18	15114/15114	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:24:01%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=39	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/indexcfbc.html	(from http://jxcg.cdu.edu.cn/index.php?a=shows&catid=39&id=55)
20:21:19	9343/9343	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:24:02%20GMT	http://jxcg.cdu.edu.cn/index.php?a=shows&catid=39&id=56	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index3089.html	(from http://jxcg.cdu.edu.cn/index.php?a=shows&catid=39&id=55)
20:21:19	9396/9396	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:24:02%20GMT	http://jxcg.cdu.edu.cn/index.php?a=shows&catid=14&id=51	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index242d.html	(from http://jxcg.cdu.edu.cn/index.php?a=shows&catid=14&id=50)
20:21:20	9673/9673	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:24:03%20GMT	http://jxcg.cdu.edu.cn/index.php?a=shows&catid=23&id=70	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/indexaf53.html	(from http://jxcg.cdu.edu.cn/index.php?a=shows&catid=23&id=69)
20:22:13	326066/326066	---M--	200	added ('OK')	image/jpeg	etag:%2259e9bca2-4f9b2%22	http://www.cdu.edu.cn/UpImages/CompusImages/1334330136.jpg	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/www.cdu.edu.cn/UpImages/CompusImages/1334330136.jpg	(from http://jxcg.cdu.edu.cn/index.php?a=shows&catid=34&id=118)
20:22:20	370788/370788	---M--	200	added ('OK')	image/jpeg	etag:%2259e9bca2-5a864%22	http://www.cdu.edu.cn/UpImages/CompusImages/1334330126.jpg	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/www.cdu.edu.cn/UpImages/CompusImages/1334330126.jpg	(from http://jxcg.cdu.edu.cn/index.php?a=shows&catid=34&id=118)
20:23:13	374521/374521	---M--	200	added ('OK')	image/jpeg	etag:%2259e9bca2-5b6f9%22	http://www.cdu.edu.cn/UpImages/CompusImages/1334330148.jpg	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/www.cdu.edu.cn/UpImages/CompusImages/1334330148.jpg	(from http://jxcg.cdu.edu.cn/index.php?a=shows&catid=34&id=118)
20:23:26	403789/403789	---M--	200	added ('OK')	image/jpeg	etag:%2259e9bca2-6294d%22	http://www.cdu.edu.cn/UpImages/CompusImages/1334330179.jpg	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/www.cdu.edu.cn/UpImages/CompusImages/1334330179.jpg	(from http://jxcg.cdu.edu.cn/index.php?a=shows&catid=34&id=118)
